SWSID,Cat1_Count,Cat2_Count,Cat4A_Count,Cat4B_Count,Cat4C_Count,Cat5_Count,305b_Listings_Cat4+5,ApprovedTMDLCount,DevelopingTMDLCount,FishPassageCount,CriticalHabitatLength_ft,ShellfishCount,SwimmingBeachPercentage,SwimmingTributaryPercentage,CohoPresence,UrbanGrowthBoundaryPercentage,ICIAreaPercentage,RoadwayLength_ft,SidewalkLength_ft,CrashesCount,CrashDensity,SidewalkDensity,PercentBuiltBefore1990,PercentImpervious,MeanFlowDurationIndex,HeatIndex,MedianOpportunityIndex,MeanAnnualAvgDailyTrips,Median2018EquityScore,MedianPavementCondition,MedianSpawnerMortality,WQBETotalCopper,WQBETotalZinc,WQBETotalNitrogen,WQBETotalPhosphorus,WQBETotalSuspendedSolids,WQBETotalPCB,WQBETotalPBDE,WQBETotalPAH,WQBE_BEHP,WQBEFecalColiformBacteria,WQBEAnnualRunoff,UrbanHeat,MeanAnnualTSSLoad,MeanAnnualCopperLoad,MeanAnnualPhosphorusLoad,MeanAnnualZincLoad,MeanAnnualTKNLoad,Average_BIBI,FacilitiesCount,BRE_FaciltiesCount,DrainagetoPSensitiveLake
1000240.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.99,1.00,1.00,0.00,8530.95,688.10,28.00,0.00,0.08,0.41,0.02,4.86,78.14,0.23,611.83,1.83,9.00,0.21,0.20,1.00,51.40,3.90,1204.30,0.00,0.00,0.00,0.10,0.10,1547887.00,13.21,2.80,0.20,3.00,2.70,64.90,0.00,1.00,1.00,0.00
1000250.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,6.00,0.00,0.00,0.00,0.99,1.00,1.00,0.00,10845.90,0.00,3.00,0.00,0.00,0.35,0.10,5.84,78.14,0.23,143.96,1.83,23.00,0.23,0.30,1.40,87.70,6.60,1674.30,0.00,0.00,0.00,0.10,0.10,5148018.00,12.66,3.60,0.20,4.50,3.40,84.50,0.00,1.00,0.00,0.00
1000260.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,5.00,0.00,0.00,0.00,0.84,5.00,1.00,0.00,685.84,197.65,1.00,0.00,0.29,0.22,0.01,2.10,78.14,0.21,2599.42,2.00,94.00,0.24,7.40,40.10,572.20,54.80,29716.60,0.00,0.00,0.30,1.60,2.30,16461102.00,9.97,2.20,0.10,1.60,1.50,44.70,0.00,3.00,1.00,0.00
1000270.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,132.53,0.00,2.00,0.02,0.00,0.01,0.00,1.47,78.14,0.25,479.62,2.33,29.00,0.24,5.30,27.70,330.30,31.40,21367.90,0.00,0.00,0.30,1.20,1.30,9271006.00,11.44,1.30,0.00,0.40,1.00,24.80,0.00,0.00,0.00,0.00
1000280.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.99,2.00,1.00,0.00,27460.30,2929.79,168.00,0.01,0.11,0.44,0.12,6.05,78.14,0.21,969.51,3.00,33.00,0.29,1.80,9.60,297.50,23.90,8567.10,0.00,0.00,0.10,0.40,0.60,8407348.00,16.32,5.20,0.90,8.60,6.90,147.70,0.00,9.00,3.00,0.00
1000290.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,12717.60,7517.21,11.00,0.00,0.59,0.39,0.26,9.05,78.14,0.52,430.00,3.33,35.00,0.29,0.70,3.60,245.70,18.00,5110.50,0.00,0.00,0.10,0.20,0.20,6825385.00,17.65,7.60,1.50,12.50,11.00,206.90,0.00,1.00,1.00,0.00
1000300.00,5.00,2.00,0.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,1.00,1.00,0.00,0.00,5739.24,0.00,,,0.34,0.15,5.47,78.14,0.24,105.38,2.67,,0.38,0.30,1.30,90.30,6.60,1905.50,0.00,0.00,0.00,0.10,0.10,2475721.00,13.06,4.50,0.90,5.50,7.20,127.80,0.00,0.00,0.00,0.00
1000310.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1707.89,0.00,,,0.35,0.22,7.31,78.14,0.24,2995.38,2.67,,0.36,0.90,4.60,203.10,15.30,5299.90,0.00,0.00,0.10,0.30,0.30,5623878.00,12.05,7.70,2.10,11.70,14.40,264.50,0.00,0.00,0.00,0.00
1000320.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,1.00,0.09,85464.10,81112.00,362.00,0.00,0.95,0.55,0.23,5.07,85.04,0.59,943.05,3.67,57.00,0.41,2.90,15.40,490.70,38.60,16185.80,0.00,0.00,0.20,0.80,0.90,13425713.00,17.37,10.00,11.40,17.90,23.80,430.70,21.99,16.00,5.00,0.00
1000330.00,12.00,1.00,0.00,0.00,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.03,47995.00,16517.30,99.00,0.00,0.34,0.62,0.31,7.44,85.20,0.50,1552.37,3.67,82.00,0.45,1.20,6.20,267.00,20.10,7344.70,0.00,0.00,0.10,0.30,0.40,7327149.00,15.93,13.10,13.90,21.80,25.80,545.40,0.00,0.00,0.00,0.00
