SWSID,305b Listings (Cat 4+5),Approved TMDL Count,Developing TMDL Count,Fish Passage Count,Critical Habitat Length ft,Shellfish Count,Swimming Beach Percentage,Swimming Tributary Percentage,Coho Presence,Urban Growth Boundary Percentage,ICIAreaPercentage,RoadwayLength_ft,SidewalkLength_ft,CrashesCount,CrashDensity,SidewalkDensity,PercentBuiltBefore1990,PercentImpervious,MeanFlowDurationIndex,MedianOpportunityIndex,MeanAnnualAvgDailyTrips,Median2018EquityScore,MedianPavementCondition,MedianSpawnerMortality,WQBE Total Copper (kg/yr),WQBE Total Zinc (kg/yr),WQBE Total Nitrogen (kg/yr),WQBE Total Phosphorus (kg/yr),WQBE Total Suspended Solids (kg/yr),WQBE Total PCB (kg/yr),WQBE Total PBDE (kg/yr),WQBE Total PAH (kg/yr),WQBE BEHP (kg/yr),WQBE Fecal Coliform Bacteria (10^12 CFU/year),WQBE Annual Runoff (ft^3/yr),UrbanHeatDifference,Average BIBI (216-22 Median),Facilities Count,BRE Facilities Count (All),Critical Facilities Count (25th percentile BRE),Is Drainage to P Sensitive Lake,Historic Runoff (mm),DrainageComplaint,Percent PAD Area
1102240,2,2,0,2,0,0,0,0,3,1,0.418044001,7674.549805,4793.419922,60,0.007818048,0.624586464,0.351181,0.061,4.609,0.7138,2336.423,3.66666667,68,0.36085592,0.380909323,1.896926229,97.33032184,7.309184696,2038.508644,0.000634028,2.39E-05,0.025728364,0.096388197,0.146799035,2625419.318,15.155,,1,1,0,0,178.972,0,0
1102250,1,2,0,0,0,0,0,0.0148486,0,1,0.034436099,1510.689941,0,6,0.003971695,0,0.510201991,0.203,7.865,0.6469,818.586,3.66666667,52,0.355768458,1.828388361,9.12591779,466.7291195,34.73442022,11211.49634,0.00341309,0.00011777,0.188834734,0.545563512,0.56412028,13577249.66,14.971,,0,0,0,1,459.276,0,0
1102260,0,1,0,0,0,0,0,0.0278443,0,1,0.0512738,0,0,1,,,0.249467,0.42,6.082,0.5495,88521.605,4,,0.408221976,2.403663087,13.14318971,184.8846173,17.82263706,8328.59049,0.002756373,0.000589655,0.079746841,0.412618163,0.751614266,5189542.63,16.136,,0,0,0,0,551.407,0,0
1102270,0,1,0,0,0,0,0,0,0,1,0.142496005,0,0,0,,,0.257434011,0.174,5.666,0.5495,27326.415,3.66666667,,0.355768458,0.851281783,4.67804194,104.9613344,9.068072114,4227.443449,0.001347284,0.000142199,0.04360616,0.20021634,0.302391152,3031747.049,16.581,,0,0,0,0,341.643,0,0
1102280,1,1,0,0,0,0,0,0,0,1,0.495593995,0,4840.379883,0,,,0.533940017,0.309,6.005,0.8351,5698.791,4.66666667,,0.37237332,2.95460721,15.20148885,462.1290549,37.04246825,13170.03144,0.004799082,0.000406439,0.166982877,0.679920402,0.962968301,16294519.82,15.936,,0,0,0,0,505.812,0,0
1102290,13,2,0,0,3436.699951,0,0,0,1,1,0.082505502,0,0,0,,,0.243217006,0.122,3.864,0.7453,2047.647,4.33333333,,0.381510361,1.446551366,10.50446207,145.0362807,17.65327723,7421.96592,0.001771313,0.000297974,0.037709738,0.238505687,0.920231708,4145360.719,16.354,,0,0,0,0,442.492,0,0
1102300,13,2,0,0,16212.2998,0,0,0,2,1,0.032737698,4742.600098,122.0110016,4,0.000843419,0.025726605,0.240113005,0.307,3.869,0.7453,9047.879,4.33333333,0,0.381510361,5.989433414,37.4737132,537.3317195,59.01368963,24442.41583,0.007916182,0.001321024,0.201659708,1.05045768,2.850133113,15881821.19,17.438,,0,0,0,0,532.098,1,0
1102310,4,1,0,0,5145.439941,0,0,0,1,1,0.141795993,0,0,0,,,0.219831005,0.677,4.997,0.6334,30453.141,4,,0.372579237,4.26566803,22.93910566,340.7874674,33.0277866,14240.91171,0.005749776,0.001012132,0.155999615,0.78044936,1.442957379,9637092.461,18.886,,1,0,0,0,714.146,0,0
1102320,2,1,0,0,1417.790039,0,0,0,1,1,0,0,0,0,,,0.26335901,0.436,5.64,0.3167,21612.927,4,,0.372476279,2.791291824,16.35681025,225.0225968,23.85487029,10438.68589,0.00372198,0.000645228,0.09647547,0.500025306,1.134808148,6698864.667,19.585,,0,0,0,0,509.4,2,0
1102330,4,1,0,0,754.3070068,0,0,0,0,1,0,0,0,0,,,0,0.051,3.566,0.6334,1414.056,4,,0.372579237,0.479146123,2.662777344,34.65540139,3.510431229,1890.729974,0.000770224,9.02E-05,0.020124421,0.100323466,0.160152245,990069.765,19.154,,0,0,0,0,529.465,0,0
1102340,0,1,0,0,2691.860107,0,0,0,0,1,0,0,0,0,,,0.0129519,0.078,2.27,0.6334,519.796,4,,0.372476279,0.246490487,1.300843529,24.17353251,2.271796953,1628.157667,0.000576216,5.18E-05,0.016627818,0.086331794,0.089968845,1127896.198,20.583,,0,0,0,0,361.03,0,0
1102350,0,1,0,0,579.0540161,0,0,0,1,0.999994993,0.097308002,0,0,0,,,0.370784014,0.518,4.651,0.6334,965.862,4,,0.424417929,0.718252174,3.761803364,54.91674186,5.230340376,2485.247077,0.0011109,0.000142653,0.029574282,0.143895178,0.224476637,1539183.79,19.148,,0,0,0,0,812.187,0,0
1102360,4,1,0,0,3860.830078,0,0,0,3,0.999961019,0,0,0,0,,,0,0.241,3.333,0.6334,58.757,4,,0.424417929,0.098041899,0.528284367,10.23491032,0.975812185,273.325805,0.000121964,2.66E-05,0.003245654,0.015798655,0.041927393,286885.8416,19.184,,0,0,0,0,692.231,0,0
