SWSID,mean
1501500,1.209990371
1500550,1.210142174
1500560,1.211091368
1501320,1.210965162
1501440,1.210357111
1501450,1.210696027
1500570,1.210182958
1500580,1.210737594
1500650,1.210948377
1500660,1.207258059
1500670,1.204314293
1500590,1.209385891
1500600,1.210468805
1500610,1.209316821
1500640,1.208264833
1500620,1.208144347
1500630,1.207947859
1500680,1.174445095
1500930,1.181260426
1501090,1.200316068
1500690,1.145915888
1500910,1.167547051
1500700,1.157240894
1500710,1.143550163
1500720,1.122790398
1500730,1.142537431
1500740,1.129599557
1500750,1.131986143
1500760,1.140684313
1500770,1.092999011
1501091,1.189922828
1500780,1.09375547
1500790,1.084027353
1500800,1.090169228
1500810,1.099326622
1500870,1.099398057
1500880,1.086184354
1500890,1.12663853
1500900,1.112408979
1500820,1.096144106
1500830,1.108143603
1500840,1.111899428
1500850,1.087312334
1500860,1.085527064
1500920,1.158370495
1500940,1.152093304
1501070,1.164484581
1501080,1.179305736
1500950,1.152112951
1501040,1.147922693
1501050,1.143831004
1501060,1.141979438
1500960,1.135168486
1500970,1.134544376
1500980,1.130599336
1500990,1.117852523
1501000,1.08521322
1501010,1.085896341
1501020,1.123616879
1501030,1.11175329
1501270,1.203748562
1501310,1.206247771
1501100,1.168478818
1501280,1.206676919
1501290,1.17799288
1501300,1.169717085
1501110,1.167550108
1501230,1.168131217
1501240,1.167687842
1501250,1.166790652
1501260,1.166406656
1501120,1.159800039
1501220,1.164364446
1501130,1.1379339
1501140,1.16612673
1501150,1.132863163
1501200,1.151010531
1501210,1.158344098
1501160,1.126167942
1501170,1.115371059
1501180,1.129736345
1501190,1.121809513
1501271,1.209614471
1501281,1.210766545
1501291,1.200084809
1501292,1.194737164
1501311,1.208082525
1501330,1.20782125
1501430,1.209434386
1501340,1.197295844
1501370,1.205914541
1501350,1.184073736
1501360,1.169001817
1501380,1.212926116
1501420,1.171681049
1501390,1.192338267
1501410,1.20571993
1501400,1.163620931
1501520,1.20563189
1501530,1.211345514
1501550,1.21822052
1501540,1.21500065
1501570,1.206241622
1501620,1.225142863
1501630,1.229054328
1501640,1.227732702
1501650,1.225986467
1501660,1.231621993
1501670,1.223971666
